"filename", "language", "C#", "JSON", "JavaScript JSX", "JavaScript", "PostCSS", "Dotenv", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Post\CreatePostRequest.cs", "C#", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Reel\CreateReelRequest.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Contracts\Story\CreateStoryRequest.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 3, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\FriendController.cs", "C#", 53, 0, 0, 0, 0, 0, 1, 16, 70
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\GroupController.cs", "C#", 51, 0, 0, 0, 0, 0, 0, 9, 60
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\PostController.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\ReelController.cs", "C#", 154, 0, 0, 0, 0, 0, 0, 37, 191
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\StoryController.cs", "C#", 98, 0, 0, 0, 0, 0, 0, 23, 121
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\Controllers\UserController.cs", "C#", 40, 0, 0, 0, 0, 0, -1, 12, 51
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\obj\Debug\net10.0\Presentation.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\Presentation\obj\Presentation.csproj.nuget.dgspec.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\.env", "Dotenv", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\App.css", "PostCSS", 0, 0, 0, 0, -3, 0, 0, 0, -3
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\App.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\friendApi.js", "JavaScript", 0, 0, 0, 30, 0, 0, 26, 6, 62
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\groupApi.js", "JavaScript", 0, 0, 0, 50, 0, 0, 71, 10, 131
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\postApi.js", "JavaScript", 0, 0, 0, 2, 0, 0, 2, 0, 4
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\reelApi.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 12, 66
"d:\SocialNetworkApp\SocialNetworkApp\src\ReactWeb\src\apis\storyApi.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 5, 20
